,Unnamed: 0,id,City,Address,lat,lon,Zipcode,average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title,url
23,26,41,Killeen,"4475, Menard Drive, Killeen, Bell County, Texas, 76549, USA",31.08831396,-97.77755412,76549,$35 ,1,Killeen,8/1/2016,My place is close to the airport and the city center.,31.08831396,-97.77755412,FEMALE GUEST ONLY,https://www.airbnb.com/rooms/14501505?location=Belton%2C%20TX
24,27,42,New Braunfels,"448, Napoleon Street, New Braunfels, Comal County, Texas, 78130, USA",29.70471393,-98.12010313,78130,$370 ,2,New Braunfels,5/1/2013,"What a location! The Comal Hideway is nestled right on the Comal River, directly across from Schlitterbahn! \n\nThis fully-furnished unit is a home away from home! Take advantage of the community grills along the river, or relax inside with a spectacular view of the Comal! \n\nMake your next vacation one to remember at the Comal Hideaway!",29.70471393,-98.12010313,Comal Hideaway! ACROSS FROM SCHLITTERBAHN!,https://www.airbnb.com/rooms/18547397?location=Comal%20River%2C%20TX
25,28,43,Abilene,"South Leggett Drive, Abilene, Taylor County, Texas, 79605, USA",32.43616081,-99.77400979,79605,$500 ,3,Abilene,7/1/2016,"Perfect home for rest and relaxation. With close to 4k sq. ft. You'll feel right at home with big couches, big kitchen, and big comfy beds! Everything's bigger in Texas! You'll have full access to our outdoor patio with fire pit, outdoor shower, and two water features. The space has all been completely renovated and is ready for you to enjoy!",32.43616081,-99.77400979,Texas style elegance and class!,https://www.airbnb.com/rooms/18838247?location=Cisco%2C%20TX
26,29,44,Houston,"6994, Marisol Drive, Harris County, Texas, 77083, USA",29.70389701,-95.66395341,77083,$35 ,1,Houston,1/1/2017,"Clean &amp; Cozy brick home with comfortable room for a guest to rent per night, large backyard with 2 big Trees for shade.Direct TV of over 500 channels to watch. Washer/Dryer, bed sheets/pillow cases",29.70389701,-95.66395341,Comfortable Room available for you!,https://www.airbnb.com/rooms/16929402?location=Cinco%20Ranch%2C%20TX
27,30,45,Abilene,"1351, Squires Road, Abilene, Taylor County, Texas, 79602, USA",32.43781002,-99.69983992,79602,$85 ,3,Abilene,12/1/2015,"Stylishly updated 3 bedroom house, conveniently located across the street from the Taylor County Expo Center, Shotwell Stadium, The Abilene ZOO, and Lyle Land &amp; Cattle and only minutes from the Abilene Airport.",32.43781002,-99.69983992,Summoner Sanctuary--Abilene Home Away From Home,https://www.airbnb.com/rooms/19286138?location=Cisco%2C%20TX
28,31,46,Austin,"14511, Deaf Smith Boulevard, Chaparral Crossing, Hornsby Bend, Travis County, Texas, 78725, USA",30.23294081,-97.58937812,78725,$50 ,1,Austin,6/1/2017,"Apartment finished to a high standard, for people who value prestige. The apartment is furnished, ready to move in.",30.23294081,-97.58937812,Lovely private room,https://www.airbnb.com/rooms/19209856?location=Cedar%20Creek%2C%20TX
29,32,47,Fort Worth,"1012, Garvey Street, Fort Worth, Tarrant County, Texas, 76102, USA",32.76650721,-97.32873671,76102,$117 ,2,Fort Worth,10/1/2014,"This house will have you feeling like you're staying in the country when you're a 20-minute walk or 5-minute ride to Downtown! A bikeshare station on Samuels Ave. connects you to points of downtown including West 7th, museum district, magnolia, and the trinity trails. A train track near the house provides some ambient noise adding to a unique atmosphere. We loved while living in this house for over 8 years, renovating it for an open, connected, and modernized concept.",32.76650721,-97.32873671,1920's Bungalow / Craftsman near Downtown,https://www.airbnb.com/rooms/7255032?location=Colleyville%2C%20TX
30,33,48,Marble Falls,"WorldMark Marble Falls, Rocky Road, Marble Falls, Burnet County, Texas, 76654, USA",30.55111868,-98.28646131,76654,$244 ,2,Marble Falls,1/1/2014,"Two Bedroom: King in master, two full beds in second bedroom, sleeper sofa in living area. Maximum occupancy is 8.\n\n**See “Description” Below for ALL details**",30.55111868,-98.28646131,"Marble Falls, TX, 2-bedroom #1",https://www.airbnb.com/rooms/14359371?location=Burnet%2C%20TX
31,34,49,Pasadena,"4381, Winterborne Drive, Village Grove, Pasadena, Harris County, Texas, 77505, USA",29.64732251,-95.13905355,77505,$850 ,3,Pasadena,8/1/2015,"Completely renovated single family home in Pasadena, Super Bowl ready, 21 miles and 25 minutes from NRG stadium. Full access allowed. Large master suite with a king size bed and 2 additional bedrooms.",29.64732251,-95.13905355,"25 Miles to Super Bowl, pool and spa, full access",https://www.airbnb.com/rooms/16678532?location=Beach%20City%2C%20TX
32,35,50,College Station,"887, Marion Pugh Drive, Callaway Villas, College Station, Brazos County, Texas, 77840, USA",30.597692699999996,-96.33721105,77840,$52 ,1,College Station,2/1/2016,"My place is great because of how close it is to Kyle Field, the George Bush Library, Northgate and great places to eat! My apartment's tidiness, accommodations and great price will be a couple of the many reasons any person/couple will love it!",30.597692699999996,-96.33721105,VACATION RENTAL FOR JUNE AND JULY!,https://www.airbnb.com/rooms/13334742?location=College%20Station%2C%20TX
