,id,City,Address,lat,lon,Zipcode
86,119,College Station,"738, Park Place, Callaway Villas, College Station, Brazos County, Texas, 77840, USA",30.60461863,-96.33028067,77840
87,120,South Padre Island,"2028, Gulf Boulevard, South Padre Island, Cameron County, Texas, 78597, USA",26.0988938,-97.16416098,78597
88,121,Dallas,"1344, Stewart Drive, Bishop Arts District, Dallas, Dallas County, Texas, 75208, USA",32.75532904,-96.84328076,75208
89,122,Houston,"8076, Grafton Street, Houston, Harris County, Texas, 77017, USA",29.69217133,-95.27834702,77017
91,124,Granbury,"1402, South Chisholm Trail, Mambrino, Hood County, Texas, 76048, USA",32.39882076,-97.75762567,76048
92,125,Houston,"5539, Hillman Street, Plaza Santa Clara, Houston, Harris County, Texas, 77023, USA",29.72643595,-95.31921338,77023
93,126,San Antonio,"1036, Thrush Ridge, San Antonio, Bexar County, Texas, 78248, USA",29.59687123,-98.52481313,78248
94,127,Arlington,"6203, Castle Creek Road, Kennedale, Tarrant County, Texas, 76017, USA",32.66199838,-97.2060795,76017
95,128,Dallas,"3916, Congress Avenue, Oak Lawn, Dallas, Dallas County, Texas, 75219, USA",32.80786908,-96.81199591,75219
96,129,Port Aransas,"763, Access Rd 1-A, Mustang Beach, Port Aransas, Aransas County, Texas, 78373, USA",27.80544277,-97.08199531,78373
97,130,Round Rock,"1609, Corn Hill Lane, Turtle Creek Village, Round Rock, Williamson County, Texas, 78664, USA",30.50945534,-97.65806608,78664
98,131,Sweeny,"TX 35;FM 524, Old Ocean, Brazoria County, Texas, 77463, USA",29.08708319,-95.72306648,77463
99,132,Euless,"239, Buckingham Avenue, Euless, Tarrant County, Texas, 76040, USA",32.8353312,-97.1085319,76040
100,133,Plano,"Ridgeview Ranch Golf Club, Plano, Collin County, Texas, 75025, USA",33.11878882,-96.73917725,75025
101,134,College Station,"Smetana, Brazos County, Texas, 77807, USA",30.62100356,-96.44929926,77807
102,135,Humble,"Hampton Hills Drive, Laurel Place, Moonshine Hill, Harris County, Texas, 77338:77346, USA",29.98656912,-95.22818386,77346
103,136,Conroe,"14895, Greenbough, Bennette Estates, Grangerland, Montgomery County, Texas, 77302, USA",30.20567661,-95.35012473,77302
104,137,Frisco,"11550, Clipper Circle, Stewart Peninsula, Denton County, Texas, 75034, USA",33.11616758,-96.92762318,75034
105,138,Sealy,"Beckendorff Road, Rexville, Austin County, Texas, 77474, USA",29.70852238,-96.22426265,77474
106,139,San Antonio,"1489, Blackbridge, The Woods, Bexar County, Texas, 78253, USA",29.44439593,-98.71742703,78253
107,140,Fort Worth,"3928, Clarke Avenue, Fort Worth, Tarrant County, Texas, 76107, USA",32.74822997,-97.37647856,76107
108,141,San Antonio,"4601, Emory Oak Woods, Woods of Shavano, San Antonio, Bexar County, Texas, 78249, USA",29.58112385,-98.57656207,78249
109,142,College Station,"Harvey Road, Summit Crossing, College Station, Brazos County, Texas, 77840, USA",30.64207031,-96.28920321,77840
110,143,Houston,"5814, Effingham Drive, Houston, Harris County, Texas, 77035, USA",29.6465198,-95.48921278,77035
111,146,Brenham,"1885, FM 50, Independence, Washington County, Texas, 77833, USA",30.2006913,-96.36471719,77833
112,147,San Antonio,"4317, Parkwood Drive, San Antonio, Bexar County, Texas, 78218, USA",29.48217334,-98.40900329,78218
113,148,Schertz,"Gettysburg Drive, The Village Subdivision Unit 4, Schertz, Guadalupe County, Texas, 78154, USA",29.55967872,-98.25797103,78154
114,149,Carrollton,"Lakecrest Court, Carrollton, Dallas County, Texas, 75006, USA",32.96345053,-96.85590903,75006
115,150,New Ulm,"Track Road, New Ulm, Austin County, Texas, 78950, USA",29.89822345,-96.50467836,78950
116,151,Hempstead,"Pierceall Road, Pine Island, Waller County, Texas, 77445, USA",30.04281773,-96.04410223,77445
117,152,Fayetteville,"Fayetteville High School, 618, North Rusk Street, Fayetteville, Fayette County, Texas, 78940, USA",29.9042624,-96.68324071,78940
118,153,Fort Worth,"Forest Park Boulevard, Fort Worth, Tarrant County, Texas, 76102, USA",32.75373575,-97.34248488,76102
119,154,Montgomery,"Lake Estates Drive, Lake Estates, Montgomery County, Texas, 77356, USA",30.40323913,-95.61173104,77356
120,156,Richmond,"10475, Shanley Trace Lane, Shiloh Lake Estates, Fort Bend County, Texas, 77407, USA",29.6610122,-95.68753793,77407
121,157,Cleburne,"4841, Looney Lane, Egan, Johnson County, Texas, 76031, USA",32.47382302,-97.28549216,76031
122,158,New Braunfels,"692, Comal Avenue, New Braunfels, Comal County, Texas, 78130, USA",29.69792115,-98.11524852,78130
123,159,New Braunfels,"Comal River, South Gilbert Avenue, New Braunfels, Comal County, Texas, 78130, USA",29.7068023,-98.12265949,78130
124,160,Kemah,"722, 6th Street, Kemah, Galveston County, Texas, 77565, USA",29.54380153,-95.0170362,77565
125,161,Irving,"456, Lacebark Drive, Valley Ranch, Irving, Dallas County, Texas, 75063, USA",32.91786622,-96.95068721,75063
126,163,Austin,"216, East 4th Street, Downtown, Austin, Travis County, Texas, 78701, USA",30.26594744,-97.74144275,78701
127,164,Concan,"Third Crossing, Uvalde County, Texas, 78838, USA",29.54128208,-99.69037872,78838
128,165,Richmond,"399, Waterside Estates Circle, Waterside Estates, Pecan Grove, Fort Bend County, Texas, 77406, USA",29.64864295,-95.7353304,77406
129,166,Austin,"6017, Salcon Cliff Drive, Legend Oaks, Austin, Travis County, Texas, 78749, USA",30.20515821,-97.8782895,78749
130,167,College Station,"Carriker Court, Royder, Brazos County, Texas, 77881, USA",30.51712322,-96.30567554,77881
132,179,Houston,"3025, Taft Street, Houston, Harris County, Texas, 77006, USA",29.74485117,-95.38589969,77006
133,184,Richmond,"17459, Hanoverian Drive, Shiloh Lake Estates, Fort Bend County, Texas, 77407, USA",29.659386,-95.69020939,77407
134,185,Austin,"4501, Gillis Street, South Manchaca, Austin, Travis County, Texas, 78745, USA",30.22363485,-97.78329845,78745
135,186,Austin,"1301, Cedar Avenue, Chestnut, Austin, Travis County, Texas, 78722, USA",30.2759184,-97.71321066,78722
136,187,Dallas,"2629, Millmar Drive, Dallas, Dallas County, Texas, 75228, USA",32.82679167,-96.67012107,75228
137,188,Austin,"2918, East Martin Luther King Jr Boulevard, Chestnut, Austin, Travis County, Texas, 78722, USA",30.28283226,-97.70820152,78722
139,190,Dallas,"5426, McCommas Boulevard, Knox, Dallas, Dallas County, Texas, 75206, USA",32.82957241,-96.77609658,75206
140,191,Lago Vista,"3404, American Drive, Lago Vista, Travis County, Texas, 78645, USA",30.44054759,-98.02017659,78645
141,192,Rockport,"588, Newcomb Bend Loop, Holiday Beach, Aransas County, Texas, 78382, USA",28.16218221,-97.01599643,78382
142,193,Tow,"1221, Manor Street, Buchanan Lake Village, Llano County, Texas, 78672, USA",30.85041949,-98.44988581,78672
143,194,Rockport,"North Fulton Beach Road, Fulton, Aransas County, Texas, 78358, USA",28.100134,-97.03050334,78358
144,195,Bridgeport,"Rickels, Wise County, Texas, 76426, USA",33.16989692,-97.85160453,76426
145,196,Kingsville,"906, West Lee Avenue, Kingsville, Kleberg County, Texas, 78363, USA",27.52007545,-97.87982068,78363
146,197,Kyle,"Plum Creek Golf Course, 4301, Benner, Kyle, Hays County, Texas, 78640, USA",30.01653024,-97.87897809,78640
147,198,Houston,"1632, Kipling Street, Houston, Harris County, Texas, 77006, USA",29.74051972,-95.40024893,77006
148,199,San Antonio,"23718, I-10 Frontage Road, Leon Springs, San Antonio, Bexar County, Texas, 78257, USA",29.66329734,-98.62682747,78257
149,200,Dallas,"Uptown PID, Dallas, Dallas County, Texas, 75204, USA",32.80743307,-96.79499383,75204
150,201,Killeen,"5499, Donegal Bay Court, Killeen, Bell County, Texas, 76549, USA",31.08205155,-97.80998783,76549
151,202,Converse,"4015, Mistflower Drive, Bexar County, Texas, 78109, USA",29.46611326,-98.32325103,78109
152,203,Lakeway,"718, Bermuda Street, Lakeway, Travis County, Texas, 78734, USA",30.3712411,-97.98738926,78734
153,204,Corpus Christi,"354, Naples Street, Coopers Alley L-Head, Downtown, Corpus Christi, Nueces County, Texas, 78404, USA",27.77152417,-97.39531271,78404
154,205,Dallas,"6006, Mercedes Avenue, Lower Greenville, Dallas, Dallas County, Texas, 75214, USA",32.82768128,-96.76334642,75214
155,206,Fort Worth,"2417, Westbrook Avenue, Fort Worth, Tarrant County, Texas, 76111, USA",32.77950286,-97.31058639,76111
156,207,Brenham,"Edgar Matchett House, West Main Street, Brenham, Washington County, Texas, 77833, USA",30.1662184,-96.40225125,77833
157,208,Galveston,"DoubleTree by Hilton Hotel Galveston Beach, Avenue O ½, Galveston, Galveston County, Texas, 77550, USA",29.29448803,-94.78369067,77550
159,210,Corpus Christi,"15004, Leeward Drive, Mustang-Padre Island, Corpus Christi, Nueces County, Texas, 78418, USA",27.60545708,-97.21130202,78418
160,211,Houston,"1398, Stanford Street, Houston, Harris County, Texas, 77019, USA",29.75484482,-95.38913101,77019
161,212,Euless,"Fountainview Drive, Euless, Tarrant County, Texas, 76039, USA",32.86431109,-97.08096908,76039
162,213,Houston,"4190, Westpark Drive, Houston, Harris County, Texas, 77027, USA",29.72758048,-95.44585328,77027
163,214,Bastrop,"A. A. Erhard House, Pecan Street, Bastrop, Bastrop County, Texas, 78602, USA",30.11212414,-97.31763093,78602
164,215,San Antonio,"1572, Moonlit Grove, Wetmore, San Antonio, Bexar County, Texas, 78247, USA",29.57813711,-98.43065619,78247
165,216,Buchanan Dam,"180, North Greenwool Drive, Golden Beach, Llano County, Texas, 78609, USA",30.80317036,-98.46823953,78609
166,217,Houston,"2734, Mason Street, Houston, Harris County, Texas, 77006, USA",29.74603384,-95.38480976,77006
167,218,River Oaks,"1315, Banks Street, River Oaks, Tarrant County, Texas, 76114, USA",32.78062233,-97.38818431,76114
168,219,Austin,"3216, Pearce Road, Austin, Travis County, Texas, 78730, USA",30.33816909,-97.82413058,78730
169,220,League City,"League City, Galveston County, Texas, 77573, USA",29.48554549,-95.0843968,77573
170,221,Saginaw,"893, Willow Court, Saginaw, Tarrant County, Texas, 76179, USA",32.85276234,-97.37723606,76179
171,222,Belton,"781, East Avenue O, Belton, Bell County, Texas, 76513, USA",31.04230373,-97.46023665,76513
172,223,Houston,"658, Harold Street, Houston, Harris County, Texas, 77006, USA",29.74181448,-95.38729022,77006
173,224,Arlington,"2012, North Davis Drive, Arlington, Tarrant County, Texas, 76012, USA",32.76776958,-97.12382879,76012
174,225,Arlington,"3420, Redstone Drive, Arlington, Tarrant County, Texas, 76001, USA",32.64135699,-97.16317067,76001
175,226,Katy,"25661, Tower Side Lane, Sedona, Cinco Ranch, Fort Bend County, Texas, 77494, USA",29.70415124,-95.82280558,77494
176,227,Austin,"905, East 7th Street, East Sixth, Austin, Travis County, Texas, 78702, USA",30.26611565,-97.7327258,78702
